標準化,半減期,コストbp,期間,AR,RISK,R/R,MDD,t(NW),回転率,損益分岐bp,N
素,10.0,20.0,2026〜,-55.611,19.657,-2.829,34.566,-2.428,0.757,-9.143,159.0
z化,なし,0.0,全期間,20.077,11.522,1.742,39.729,5.333,2.17,3.671,2771.0
z化,なし,0.0,〜2023,27.877,10.47,2.663,8.407,7.817,2.185,5.062,2144.0
z化,なし,0.0,2024〜,-6.596,14.439,-0.457,39.729,-0.652,2.118,-1.236,627.0
z化,なし,0.0,2026〜,-63.454,20.608,-3.079,39.729,-2.256,2.319,-10.856,159.0
z化,なし,5.0,全期間,-7.266,11.651,-0.624,72.14,-1.899,2.17,3.671,2771.0
z化,なし,5.0,〜2023,0.343,10.612,0.032,34.922,0.094,2.185,5.062,2144.0
z化,なし,5.0,2024〜,-33.283,14.55,-2.287,58.19,-3.238,2.118,-1.236,627.0
z化,なし,5.0,2026〜,-92.68,20.652,-4.488,47.45,-3.274,2.319,-10.856,159.0
z化,なし,10.0,全期間,-34.609,11.941,-2.898,97.977,-8.811,2.17,3.671,2771.0
z化,なし,10.0,〜2023,-27.192,10.926,-2.489,90.803,-7.215,2.185,5.062,2144.0
z化,なし,10.0,2024〜,-59.97,14.797,-4.053,78.215,-5.7,2.118,-1.236,627.0
z化,なし,10.0,2026〜,-121.905,20.8,-5.861,55.442,-4.267,2.319,-10.856,159.0
z化,なし,20.0,全期間,-89.294,12.955,-6.893,99.995,-21.071,2.17,3.671,2771.0
z化,なし,20.0,〜2023,-82.26,12.014,-6.847,99.916,-19.763,2.185,5.062,2144.0
z化,なし,20.0,2024〜,-113.344,15.67,-7.233,94.273,-10.119,2.118,-1.236,627.0
z化,なし,20.0,2026〜,-180.357,21.399,-8.428,69.095,-6.15,2.319,-10.856,159.0
z化,3.0,0.0,全期間,11.002,11.178,0.984,34.966,3.054,1.218,3.585,2771.0
z化,3.0,0.0,〜2023,16.181,10.246,1.579,14.992,4.406,1.215,5.284,2144.0
z化,3.0,0.0,2024〜,-6.708,13.854,-0.484,34.966,-0.73,1.226,-2.171,627.0
