,MOM,PCA_PLAIN,PCA_SUB,DOUBLE,EW_BENCH
2015-01-06,0.0046354889453340325,0.005138739240508784,0.002887664956273351,0.010084663573835768,-0.01180342019404379
2015-01-07,-2.1733543195257346e-05,0.0017464840967081011,0.0008918258595526527,0.0032062475947774336,0.00769995041405471
2015-01-08,0.006288809721158484,0.0049643999486374876,0.008903418774998251,0.004444492455414428,0.0004978617281110468
2015-01-09,-0.00024970654287548213,-0.00029590937299122126,-0.0018379800461637125,0.002793650628222455,-0.005269809337675944
2015-01-13,0.0030696539519623253,-0.008233357774539776,-0.009774979267624896,-0.007794026295357031,3.9955694058255326e-05
2015-01-14,0.003949627358482633,0.004842401299414779,0.0060642898224250626,0.0042663598083358765,-0.002222780345807937
2015-01-15,0.00606170262688981,0.0012703900853661136,0.00525932986590978,0.008477659221709708,0.003978654493078809
2015-01-16,0.0016248362010127693,0.00887236382185832,-0.0005921958088464627,0.004822905039692231,0.0009100974594590641
2015-01-20,-0.0008692968836218739,-0.002888626410997253,-0.0002841156707960699,-0.007588894979614716,0.005492558536502199
2015-01-21,0.0016916030674363643,0.0032569524125773746,0.0037525952946366736,0.00670058234351358,-0.0029100796971997752
2015-01-22,-0.0036517151569345216,0.0062168411926941235,0.0016296596915772459,-0.006118286879673751,-0.002079290970078888
2015-01-23,0.0041034987937209385,0.006423971777238923,0.0010429122009573799,0.0016248063113235567,-0.0012970374123573616
2015-01-26,0.0012618767962571107,0.003998225761253904,0.004841798582266566,0.005274895096934124,0.00232627120320834
2015-01-27,0.0020654320593416885,-0.013870727932362681,-0.0027353345452690862,0.0050680345664423365,0.007234881654456143
2015-01-28,0.009534123447474263,0.006308488129624834,-0.009853767328738794,-0.003799968162635318,0.0064642616583901824
2015-01-29,0.0021703367800033806,0.003004826468674794,0.006105731618660282,0.005750652691202119,-4.4428882171598794e-05
2015-01-30,-0.0022249988896070106,0.0005583874359866843,0.0017144171746001251,-0.0010827620884609128,-0.0011012084460715462
2015-02-02,0.008696634162620676,0.0002416257905441194,-0.006035388260675224,-0.0003511173916931529,0.00036518517718702966
2015-02-03,-0.016642132960668302,0.00247089429706171,0.011266183284869013,0.019973733418557127,-0.017991748207414195
2015-02-04,-0.0006034499052226519,-0.0020734697065779126,0.005836781717628783,-0.00034494515490594325,0.0071598295617158695
2015-02-05,-0.01196666293227069,-0.0003501956139426504,0.0010122344222514464,-0.017666552187575957,0.002499480066460672
2015-02-06,-0.0005445343554917105,-0.0010071796324987226,0.0002291411178007908,-0.004219409282700426,0.0010965769827457111
2015-02-09,0.0033754639001260635,0.0029308922642595327,0.0014939505871134798,-0.007471324322106917,-0.0036555126443686315
2015-02-10,-0.008521088883851459,0.004958208141979049,0.0047750516868028114,0.0010829132200158203,0.003603744294276574
