,us_ew_cc,jp_ew_cc_prev,exec_date,jp_ew_oc_next,pred,pred_up,actual_up,correct,timed_return,beta_const,beta_us_ew_cc,beta_jp_ew_cc_prev
2015-07-07,0.008472376287986768,0.011112985037369343,2015-07-08 00:00:00,-0.02696243492888538,-1.2304278952509281e-05,False,False,True,0.02696243492888538,7.332653102513696e-05,0.0006781141038098614,-0.00822245755969674
2015-07-08,-0.016290945488103652,-0.030431070181614624,2015-07-09 00:00:00,0.0085112132905087,0.0018337031455742299,True,True,True,0.0085112132905087,-9.507596983684227e-05,-0.028970213365342043,-0.04787301070922298
2015-07-09,0.0015321696084292175,-0.008339993623213419,2015-07-10 00:00:00,0.008755094473444958,0.0005414747145125846,True,True,True,0.008755094473444958,-1.5176217502125917e-05,-0.041045889099125904,-0.07428545198391137
2015-07-10,0.011429083426099471,0.009954754943929181,2015-07-13 00:00:00,0.0011803684753950111,-0.0012196246284000753,False,True,False,-0.0011803684753950111,5.90688476335009e-05,-0.03830563467078364,-0.08447171089875136
2015-07-13,0.009907974840877786,-0.015741541445169926,2015-07-14 00:00:00,0.000289123176229174,0.001020383288694893,True,True,True,0.000289123176229174,7.534617545896027e-05,-0.03497666962780217,-0.0820494664023005
2015-07-14,0.0036894041539643485,0.013564098908089621,2015-07-15 00:00:00,0.0015394223950470141,-0.0011552767036886694,False,True,False,-0.0015394223950470141,6.872552688296342e-05,-0.036095354994741174,-0.08042051929189674
2015-07-15,-0.0020438432459321345,0.04082691396272935,2015-07-16 00:00:00,0.0025466549425582287,-0.0029550845226556407,False,True,False,-0.0025466549425582287,8.637162093238772e-05,-0.035378344484499294,-0.07626743321470414
2015-07-16,0.006893516912663994,0.004901425823043485,2015-07-17 00:00:00,-0.0010745898981475318,-0.0004291188577667023,False,False,True,0.0010745898981475318,0.00010509251692918612,-0.039495551887204675,-0.053443248810361665
2015-07-17,-0.0023432817764883606,0.0032538699135140495,2015-07-21 00:00:00,0.0013968358553239863,1.9766726141911574e-05,True,True,True,0.0013968358553239863,0.00010052191474676985,-0.040032466835200606,-0.05364766977397015
2015-07-21,-0.004808088538186545,0.006355905374822753,2015-07-22 00:00:00,-4.012272747345267e-06,-3.274492028635566e-05,False,False,True,4.012272747345267e-06,0.00011101941376744411,-0.040574154689530614,-0.053312383080056355
2015-07-22,-0.001307644505503062,-0.004502569862891385,2015-07-23 00:00:00,0.001192575222532714,0.00040427970849219634,True,True,True,0.001192575222532714,0.00011122774928911151,-0.04059564484274583,-0.053295627738026125
2015-07-23,-0.007065934922823851,1.0280716663117505e-05,2015-07-24 00:00:00,-0.00541157889609631,0.00040503355828515466,True,False,False,-0.00541157889609631,0.00011782455673327285,-0.0407251885186911,-0.05374433116173624
2015-07-24,-0.010966112505652678,-0.006537256268677111,2015-07-27 00:00:00,-0.007372325954201016,0.0008061968118160076,True,False,False,-0.007372325954201016,7.176293254829597e-05,-0.035085419615166924,-0.05349082338032929
2015-07-27,-0.004754930502640432,-0.010167027325025894,2015-07-28 00:00:00,0.005426243085222993,0.0006039699261225606,True,True,True,0.005426243085222993,1.7880198698171533e-06,-0.02378881583673962,-0.048103317181523254
2015-07-28,0.013744590778405385,-0.0031330375390829336,2015-07-29 00:00:00,3.2570389471673604e-06,-0.0001503638440155022,False,True,False,-3.2570389471673604e-06,4.3605162889559026e-05,-0.02626184636935066,-0.053299496876087205
2015-07-29,0.007649447508241024,0.0033829186720823043,2015-07-30 00:00:00,0.005240835040794005,-0.00033466030897921556,False,True,False,-0.005240835040794005,4.475456144384935e-05,-0.025990537654570087,-0.05338633128070521
2015-07-30,0.0005775417445008522,0.00936718736529123,2015-07-31 00:00:00,0.00453894045681414,-0.00042077691929526804,False,True,False,-0.00453894045681414,8.317055049710892e-05,-0.020956435537011056,-0.052507143742663916
2015-07-31,-0.0012021882499473212,0.005482755204413025,2015-08-03 00:00:00,-0.0016109979958176927,-0.00012477646331753752,False,False,True,0.0016109979958176927,0.00011501666034428923,-0.02125582244916703,-0.048396584155281364
2015-08-03,-0.004199416502821506,-0.000578749936079713,2015-08-04 00:00:00,-0.0004978036220655552,0.0002210397875817988,True,False,False,-0.0004978036220655552,0.00010488370242884502,-0.020897194499886293,-0.049071386339727976
2015-08-04,-0.0021524366177366134,0.0013389183893982321,2015-08-05 00:00:00,0.006191776916668645,7.804278163322399e-05,True,True,True,0.006191776916668645,9.95019947381481e-05,-0.020501652252640785,-0.048985599613049186
2015-08-05,0.002840074750413393,0.006526919545635557,2015-08-06 00:00:00,0.0006623223615635662,-0.00023798164612381999,False,True,False,-0.0006623223615635662,0.00014335369352878275,-0.022394484245891133,-0.048680442309079766
2015-08-06,-0.004860388222729754,0.006035384783244802,2015-08-07 00:00:00,0.0032944688494386124,-3.419465737009432e-05,False,True,False,-0.0032944688494386124,0.00014914487959871118,-0.022158136132718345,-0.04822172758129307
2015-08-07,-0.0032971115982638344,-0.0012196596255175825,2015-08-10 00:00:00,0.0044936699968408525,0.00030839750931710116,True,True,True,0.0044936699968408525,0.00017106832976314745,-0.02447630625763489,-0.04642940138747069
2015-08-10,0.01301136651488033,0.0033891558825339804,2015-08-11 00:00:00,-0.0028320886377668692,-0.00029971360103807636,False,False,True,0.0028320886377668692,0.00020170903698531222,-0.026226496196946697,-0.047262530599223335
2015-08-11,-0.007660983291321687,0.0035709009189302367,2015-08-12 00:00:00,-0.008083661289387142,0.000246928367055603,True,False,False,-0.008083661289387142,0.00018561702242413854,-0.030129418438880097,-0.04746970875260713
2015-08-12,0.003576234725192936,-0.012186343396291197,2015-08-13 00:00:00,0.00353652332808521,0.0006620362942990819,True,True,True,0.00353652332808521,0.00012915140046625728,-0.021842016664887366,-0.050137851234685296
2015-08-13,-0.0020250044341330042,0.0008663572904879742,2015-08-14 00:00:00,-0.0017814565609749608,0.00014699456960048186,True,False,False,-0.0017814565609749608,0.00015261154972045146,-0.020312004263121068,-0.05396027635732946
2015-08-14,0.003894664768658715,-0.00018385362976795528,2015-08-17 00:00:00,0.00024108834905973577,7.224582078794923e-05,True,True,True,0.00024108834905973577,0.00013934652542876315,-0.019776136324415,-0.053959863477257154
2015-08-17,0.005103312584640942,0.002234561937682834,2015-08-18 00:00:00,-0.002888710004462767,-8.067824936568669e-05,False,False,True,0.002888710004462767,0.0001404942226143801,-0.019700059390700006,-0.05398682799476568
2015-08-18,-0.0028870953512327466,0.001143009364752815,2015-08-19 00:00:00,-0.00827499030466133,0.00012194421926602969,True,False,False,-0.00827499030466133,0.0001223708910689195,-0.021296809327224872,-0.05416630249656796
2015-08-19,-0.008420710376082533,-0.01055616159875907,2015-08-20 00:00:00,-0.009564802151434052,0.000792565687809323,True,False,False,-0.009564802151434052,6.571813986995627e-05,-0.018039839097333678,-0.05446480543999788
2015-08-20,-0.019337588869595284,-0.014671293376327535,2015-08-21 00:00:00,-0.012507542194997279,0.0007920531602006552,True,False,False,-0.012507542194997279,-1.6098076154376117e-05,-0.008518016538771343,-0.043856619729386113
2015-08-21,-0.02921779290416045,-0.030514601835864557,2015-08-24 00:00:00,-0.03033017052842542,0.00017564106706875694,True,False,False,-0.03033017052842542,-0.00012178139260769273,0.01869798676227138,-0.027650249842996952
