,MOM,PCA_PLAIN,PCA_SUB,DOUBLE
count,2766.0,2766.0,2766.0,2766.0
mean,0.49558929862617507,2.607953723788865,2.169631236442516,2.3076294919028104
std,0.36203473075441156,1.3088079716744154,1.747944183716749,1.3526028203912623
min,0.0,0.0,0.0,0.0
25%,0.4,1.5999999999999999,0.4,1.0666666666666667
50%,0.4,2.8000000000000003,2.0,2.5
75%,0.8,4.0,4.0,3.666666666666666
max,2.4000000000000004,4.000000000000001,4.000000000000001,4.000000000000001
