,AR,RISK,R/R,MDD,t(NW),HitRate(%),N
MOM,4.17,11.04,0.38,17.74,1.27,51.24,2705.0
PCA_PLAIN,5.43,10.73,0.51,23.65,1.59,51.02,2705.0
PCA_SUB,20.1,11.52,1.75,40.21,5.29,54.75,2705.0
DOUBLE,14.78,11.88,1.24,29.23,4.1,52.83,2705.0
